ID_DATA;DIA;M?S;ANO;DT_COMPL
1;1;1;2020;01/01/2020
2;2;1;2020;02/01/2020
3;3;1;2020;03/01/2020
4;4;1;2020;04/01/2020
5;5;1;2020;05/01/2020
6;6;1;2020;06/01/2020
7;7;1;2020;07/01/2020
8;8;1;2020;08/01/2020
9;9;1;2020;09/01/2020
10;10;1;2020;10/01/2020
11;11;1;2020;11/01/2020
12;12;1;2020;12/01/2020
13;13;1;2020;13/01/2020
14;14;1;2020;14/01/2020
15;15;1;2020;15/01/2020
16;16;1;2020;16/01/2020
17;17;1;2020;17/01/2020
18;18;1;2020;18/01/2020
19;19;1;2020;19/01/2020
20;20;1;2020;20/01/2020
21;21;1;2020;21/01/2020
22;22;1;2020;22/01/2020
23;23;1;2020;23/01/2020
24;24;1;2020;24/01/2020
25;25;1;2020;25/01/2020
26;26;1;2020;26/01/2020
27;27;1;2020;27/01/2020
28;28;1;2020;28/01/2020
29;29;1;2020;29/01/2020
30;30;1;2020;30/01/2020
31;31;1;2020;31/01/2020
32;1;2;2020;01/02/2020
33;2;2;2020;02/02/2020
34;3;2;2020;03/02/2020
35;4;2;2020;04/02/2020
36;5;2;2020;05/02/2020
37;6;2;2020;06/02/2020
38;7;2;2020;07/02/2020
39;8;2;2020;08/02/2020
40;9;2;2020;09/02/2020
41;10;2;2020;10/02/2020
42;11;2;2020;11/02/2020
43;12;2;2020;12/02/2020
44;13;2;2020;13/02/2020
45;14;2;2020;14/02/2020
46;15;2;2020;15/02/2020
47;16;2;2020;16/02/2020
48;17;2;2020;17/02/2020
49;18;2;2020;18/02/2020
50;19;2;2020;19/02/2020
51;20;2;2020;20/02/2020
52;21;2;2020;21/02/2020
53;22;2;2020;22/02/2020
54;23;2;2020;23/02/2020
55;24;2;2020;24/02/2020
56;25;2;2020;25/02/2020
57;26;2;2020;26/02/2020
58;27;2;2020;27/02/2020
59;28;2;2020;28/02/2020
60;29;2;2020;29/02/2020
61;1;3;2020;01/03/2020
62;2;3;2020;02/03/2020
63;3;3;2020;03/03/2020
64;4;3;2020;04/03/2020
65;5;3;2020;05/03/2020
66;6;3;2020;06/03/2020
67;7;3;2020;07/03/2020
68;8;3;2020;08/03/2020
69;9;3;2020;09/03/2020
70;10;3;2020;10/03/2020
71;11;3;2020;11/03/2020
72;12;3;2020;12/03/2020
73;13;3;2020;13/03/2020
74;14;3;2020;14/03/2020
75;15;3;2020;15/03/2020
76;16;3;2020;16/03/2020
77;17;3;2020;17/03/2020
78;18;3;2020;18/03/2020
79;19;3;2020;19/03/2020
80;20;3;2020;20/03/2020
81;21;3;2020;21/03/2020
82;22;3;2020;22/03/2020
83;23;3;2020;23/03/2020
84;24;3;2020;24/03/2020
85;25;3;2020;25/03/2020
86;26;3;2020;26/03/2020
87;27;3;2020;27/03/2020
88;28;3;2020;28/03/2020
89;29;3;2020;29/03/2020
90;30;3;2020;30/03/2020
91;31;3;2020;31/03/2020
92;1;4;2020;01/04/2020
93;2;4;2020;02/04/2020
94;3;4;2020;03/04/2020
95;4;4;2020;04/04/2020
96;5;4;2020;05/04/2020
97;6;4;2020;06/04/2020
98;7;4;2020;07/04/2020
99;8;4;2020;08/04/2020
100;9;4;2020;09/04/2020
101;10;4;2020;10/04/2020
102;11;4;2020;11/04/2020
103;12;4;2020;12/04/2020
104;13;4;2020;13/04/2020
105;14;4;2020;14/04/2020
106;15;4;2020;15/04/2020
107;16;4;2020;16/04/2020
108;17;4;2020;17/04/2020
109;18;4;2020;18/04/2020
110;19;4;2020;19/04/2020
111;20;4;2020;20/04/2020
112;21;4;2020;21/04/2020
113;22;4;2020;22/04/2020
114;23;4;2020;23/04/2020
115;24;4;2020;24/04/2020
116;25;4;2020;25/04/2020
117;26;4;2020;26/04/2020
118;27;4;2020;27/04/2020
119;28;4;2020;28/04/2020
120;29;4;2020;29/04/2020
121;30;4;2020;30/04/2020
122;1;5;2020;01/05/2020
123;2;5;2020;02/05/2020
124;3;5;2020;03/05/2020
125;4;5;2020;04/05/2020
126;5;5;2020;05/05/2020
127;6;5;2020;06/05/2020
128;7;5;2020;07/05/2020
129;8;5;2020;08/05/2020
130;9;5;2020;09/05/2020
131;10;5;2020;10/05/2020
132;11;5;2020;11/05/2020
133;12;5;2020;12/05/2020
134;13;5;2020;13/05/2020
135;14;5;2020;14/05/2020
136;15;5;2020;15/05/2020
137;16;5;2020;16/05/2020
138;17;5;2020;17/05/2020
139;18;5;2020;18/05/2020
140;19;5;2020;19/05/2020
141;20;5;2020;20/05/2020
142;21;5;2020;21/05/2020
143;22;5;2020;22/05/2020
144;23;5;2020;23/05/2020
145;24;5;2020;24/05/2020
146;25;5;2020;25/05/2020
147;26;5;2020;26/05/2020
148;27;5;2020;27/05/2020
149;28;5;2020;28/05/2020
150;29;5;2020;29/05/2020
151;30;5;2020;30/05/2020
152;31;5;2020;31/05/2020
153;1;6;2020;01/06/2020
154;2;6;2020;02/06/2020
155;3;6;2020;03/06/2020
156;4;6;2020;04/06/2020
157;5;6;2020;05/06/2020
158;6;6;2020;06/06/2020
159;7;6;2020;07/06/2020
160;8;6;2020;08/06/2020
161;9;6;2020;09/06/2020
162;10;6;2020;10/06/2020
163;11;6;2020;11/06/2020
164;12;6;2020;12/06/2020
165;13;6;2020;13/06/2020
166;14;6;2020;14/06/2020
167;15;6;2020;15/06/2020
168;16;6;2020;16/06/2020
169;17;6;2020;17/06/2020
170;18;6;2020;18/06/2020
171;19;6;2020;19/06/2020
172;20;6;2020;20/06/2020
173;21;6;2020;21/06/2020
174;22;6;2020;22/06/2020
175;23;6;2020;23/06/2020
176;24;6;2020;24/06/2020
177;25;6;2020;25/06/2020
178;26;6;2020;26/06/2020
179;27;6;2020;27/06/2020
180;28;6;2020;28/06/2020
181;29;6;2020;29/06/2020
182;30;6;2020;30/06/2020
